Nº Convênio,Link Externo,UF,Município,CNPJ,Nome Proponente,Modalidade,Emenda,Objeto,Situação,Órgão Concedente,Natureza Jurídica,Início Vigência,Fim Vigência,Qtd Instrumentos,Vl Global,Vl Liberado,Movimentação Financeira,Saldo em Conta,Vl Devolvido,Diff_Pedido_Liberado
882547,Acesso Livre,PR,SAO JOAO DO TRIUNFO,75193516000107,MUNICIPIO DE SAO JOAO DO TRIUNFO,CONVENIO,SIM,Implantação de Sistema de Abastecimento de Água no Município de São João do Triunfo-PR.,Em execução,MINISTERIO DA SAUDE,Administração Pública Municipal,2019-12-31 00:00:00,2022-12-31 00:00:00,1,250000.0,0.0,0.0,0.0,0.0,250000.0
882866,Acesso Livre,PR,CAMPINA DO SIMAO,01611489000109,MUNICIPIO DE CAMPINA DO SIMAO,CONVENIO,SIM,Aquisição de insumos do tipo calcário para correção de solos,Em execução,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,2019-12-30 00:00:00,2022-07-10 00:00:00,1,501000.0,500000.0,300108.6,200956.7,0.0,1000.0
882886,Acesso Livre,PR,RONCADOR,75371401000157,MUNICIPIO DE RONCADOR,CONVENIO,SIM,Projeto de aquisição de insumos para distribuição aos pequenos agricultores familiares.,Em execução,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Administração Pública Municipal,2019-08-21 00:00:00,2022-06-19 00:00:00,1,423058.0,423058.0,388858.0,34294.13,0.0,0.0
882978,Acesso Livre,PR,FRANCISCO BELTRAO,07864244000161,UNIAO DE COOPERATIVAS DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDARIA DO ESTADO DO PARANA,TERMO DE FOMENTO,SIM,"Fortalecer a interação e sinergia as cooperativas da Agricultura Familiar do Paraná, através da construção de estratégias unificadas de produção, organização, gestão, agroindustrialização e comercialização.",Em execução,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",Organização da Sociedade Civil,2019-08-16 00:00:00,2021-08-16 00:00:00,1,1020000.0,1000000.0,193068.16,815059.82,0.0,20000.0
883033,Acesso Livre,PR,CURITIBA,07234458000154,PASTORAL DA PESSOA IDOSA,TERMO DE FOMENTO,SIM,"Fomentar a inclusão e acesso à cidadania às Pessoas Idosas do Estado do Paraná por meio da realização de 20 eventos: “Feira de Serviços e Exposição de Temas com Foco na Pessoa Idosa”, em diferentes municípios, atingindo aproximadamente 100 (cem) pessoas idosas por evento e 2.000 (duas mil) pessoas idosas e seus familiares no Estado.",Prestação de Contas enviada para Análise,"MINIST. MULHER, FAMILIA E DIREITOS HUMANOS",Organização da Sociedade Civil,2019-07-01 00:00:00,2020-07-01 00:00:00,1,100000.0,100000.0,0.0,0.0,101002.24,0.0
883072,Acesso Livre,PR,FRANCISCO BELTRAO,18303706000198,INSTITUTO JEFERSON BIZOTTO,TERMO DE FOMENTO,SIM,Implantação e Desenvolvimento do Programa Segundo Tempo - Padrão no Município de Francisco Beltrão/PR.,Em execução,MINISTERIO DA CIDADANIA,Organização da Sociedade Civil,2019-10-01 00:00:00,2021-11-26 00:00:00,1,210798.0,210798.0,47020.0,167391.43,0.0,0.0
883124,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do projeto intitulado Melhoria dos procedimentos, pelo desenvolvimento de sistemas digitais que possibilitem agilidade e praticidade às atuais rotinas administrativas, de acordo com o Plano de Trabalho devidamente aprovado.",Em execução,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,2019-06-25 00:00:00,2021-06-24 00:00:00,1,140224.84,130000.0,60852.46,69725.73,0.0,10224.839999999997
883283,Acesso Livre,PR,CURITIBA,75045104000111,FUNDACAO DE PESQUISAS FLORESTAIS DO PARANA,CONVENIO,NÃO,Desenvolvimento do Projeto de Pesquisa denominado“Conviver: Reforçando a Responsabilidade Social e a Liderança Pró-Social entre Crianças do Ensino Fundamental no Brasil”.,Em execução,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,2019-07-25 00:00:00,2021-02-25 00:00:00,1,467752.74,368162.04,246989.6199999999,121589.44,0.0,99590.70000000001
883286,Acesso Livre,PR,GUARAPUAVA,77902914000172,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,CONVENIO,NÃO,"O presente Plano de Trabalho tem como objeto a certificação de especialistas, mediantes a oferta de cursos de especialização lato sensu, exclusivamente aprovados pelo Sistema Universidade Aberta do Brasil (UAB) e executados pela Universidade Estadual do Centro Oeste.",Em execução,MINISTERIO DA EDUCACAO,Administração Pública Estadual ou do Distrito Federal,2019-12-19 00:00:00,2022-12-19 00:00:00,1,328221.0,157443.26,0.0,157534.01,0.0,170777.74
883531,Acesso Livre,PR,CURITIBA,76416965000121,PARANA SECRETARIA DE ESTADO DA EDUCACAO,CONVENIO,NÃO,"Apoiar a realização do Censo Escolar da Educação Básica nos anos letivos de 2019 e 2020, na preparação, execução, controle de qualidade das informações e divulgação dos resultados.",Em execução,MINISTERIO DA EDUCACAO,Administração Pública Estadual ou do Distrito Federal,2019-08-08 00:00:00,2021-05-10 00:00:00,1,527099.19,198719.61,136998.0,62358.4,0.0,328379.57999999996
