Nº Convênio,Link Externo,UF,Município,CNPJ,Nome Proponente,Modalidade,Emenda,Objeto,Situação,Órgão Concedente,Natureza Jurídica,Início Vigência,Fim Vigência,Qtd Instrumentos,Vl Global,Vl Liberado,Movimentação Financeira,Saldo em Conta,Vl Devolvido
816099,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Concurso Público para Município de Matinhos, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas enviada para Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,19/2/2015,18/2/2016,1,"269.100,00","269.000,00","268.416,08","0,00","2.087,58"
816100,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do projeto Empreendedorismo com foco em Negócios Sociais, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas Aprovada,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,3/3/2015,2/3/2016,1,"154.181,91","92.666,73","87.388,16","0,00","7.992,50"
816102,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Curso de Especialização em Gestão de Negócios - Turma 2015, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas em Complementação,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,25/6/2015,24/6/2017,1,"201.220,00","142.501,21","128.072,25","0,00","16.945,28"
816105,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Programa Mais Educação - Impactos da Educação Integral e Integrado, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas em Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,24/4/2015,23/4/2016,1,"43.200,00","43.200,00","37.298,03","0,00","7.187,13"
816107,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Concurso Público para provimento de vagas ao cargo de Médico - Clínico Geral para o Município de Curitiba, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas enviada para Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,29/5/2015,28/5/2016,1,"72.844,60","72.844,60","63.157,64","0,00","12.189,57"
816108,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Concurso Público para provimento de vagas ao cargo de procurador nível I para o Município de Curitiba, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas enviada para Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,29/5/2015,28/5/2016,1,"422.945,28","422.945,28","331.288,20","0,00","106.062,22"
816110,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Curso de Especialização em Geotecnologias  - Turma 2013, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas em Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,16/3/2015,15/9/2015,1,"41.534,90","41.534,90","41.531,90","0,00","154,12"
816111,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Projeto Análise de minerais e rochas no ensino, pesquisa e extensão na UFPR - LAMIR, de acordo com o Plano de Trabalho devidamente aprovado.",Em execução,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,1/4/2015,31/12/2020,1,"2.891.711,63","1.117.694,20","1.112.971,54","9.407,40","0,00"
816112,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Concurso Público para o provimento de vagas ao cargo de Guarda Municipal para o Municipio de Curitiba, de acordo com o Plano de Trabalho devidamente aprovado.",Prestação de Contas enviada para Análise,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,27/4/2015,26/4/2016,1,"1.257.292,52","1.230.292,52","1.159.851,00","0,00","101.578,93"
816132,Acesso Livre,PR,CURITIBA,78350188000195,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA,TECNOLOGIA E DA CULTURA",CONVENIO,NÃO,"Conjugação de esforços entre os participes visando o desenvolvimento do Projeto Estratégias, Caracterização e Análise de Marcadores Genéticos de Importância na Gestão da Saúde e Bem Comum, de acordo com o Plano de Trabalho devidamente aprovado.",Aguardando Prestação de Contas,MINISTERIO DA EDUCACAO,Organização da Sociedade Civil,9/3/2015,8/3/2020,1,"11.229.200,00","8.571.390,42","8.472.862,41","153.308,21","0,00"
